Licence type,Licence reference number,Property address,UPRN,Licence start date,Licence end date,Maximum permitted occupants
Mandatory HMO licence,CBC-902640797086,"Flat 8, Waterways 29, Derby Road, LE11 5AP",10070069949,28/05/2024,27/05/2029,6
Mandatory HMO licence,CBC-501890332475,"Room 1, Cedar Lodge 186a, Ashby Road, LE11 3AG",10013597447,10/06/2024,09/06/2029,8
Mandatory HMO licence,CBC-577545838693,"Room 17, Oak Lodge 188b, Ashby Road, LE11 3AG",10013597596,10/06/2024,09/06/2029,8
Mandatory HMO licence,CBC-392751789639,"12, Towles Mill Queens Road, Loughborough, LE11 1GG",10004000065,05/01/2023,04/01/2028,0
Mandatory HMO licence,CBC-985688458297,"West Grove Flat 4, Harry French Court Ashby Road, LE11 3UN",10023776749,06/06/2024,05/06/2029,6
Mandatory HMO licence,CBC-558556377994,"Block Q Ground Floor, Harry French Court Ashby Road, LE11 3UN",10023776771,10/06/2024,09/06/2029,6
Mandatory HMO licence,CBC-040794874318,"Flat 1, Waterways 29, Derby Road, LE11 5AP",10070069942,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-231420007604,"New Block L First Floor Flat 1, William Morris Hall Ashby Road, LE11 3TQ",10013598058,26/12/2024,25/12/2029,5
Mandatory HMO licence,CBC-902847621053,"New Block M Second Floor Flat 1, William Morris Hall Ashby Road, LE11 3TQ",10013598090,26/12/2024,25/12/2029,5
Mandatory HMO licence,CBC-618608744610,"Block H Ground Floor Room 1, William Morris Hall John Phillips Close, LE11 3TQ",10013597160,18/12/2024,17/12/2029,7
Mandatory HMO licence,CBC-602962231434,"Block B Second Floor Room 1, William Morris Hall John Phillips Close, LE11 3TQ",10013597048,18/12/2024,17/12/2029,7
Mandatory HMO licence,CBC-733864291135,"Block E Second Floor Room 1, William Morris Hall John Phillips Close, LE11 3TQ",10013597111,18/12/2024,17/12/2029,7
Mandatory HMO licence,CBC-160114056921,"Block F Ground Floor Room 1, William Morris Hall John Phillips Close, LE11 3TQ",10013597118,18/12/2024,17/12/2029,7
Mandatory HMO licence,CBC-005293436313,"Highfields House, William Morris Hall Ashby Road, LE11 3TQ",1.00032E+11,25/04/2024,24/04/2029,9
Mandatory HMO licence,CBC-234291766216,"Block Jj, William Morris Hall Ashby Road, LE11 3TQ",10091073977,18/12/2024,17/12/2029,5
Mandatory HMO licence,CBC-887048424587,"Somerton House, William Morris Hall Ashby Road, LE11 3TQ",10023775312,16/05/2024,15/05/2029,11
Mandatory HMO licence,CBC-113273749020,"Block C First Floor, Harry French Court Ashby Road, LE11 3UN",10023776774,06/06/2024,05/06/2029,6
Mandatory HMO licence,CBC-494046571917,"Flat 1 111, Ashby Road, LE11 3AB",2.00001E+11,12/07/2024,11/07/2029,7
Mandatory HMO licence,CBC-638104168063,"Block F Ground Floor, Harry French Court Ashby Road, LE11 3UN",10023776762,06/06/2024,05/06/2029,6
Mandatory HMO licence,CBC-214360083070,"Block D First Floor, Harry French Court Ashby Road, LE11 3UN",10023776775,06/06/2024,05/06/2029,6
Mandatory HMO licence,CBC-268264388896,"New Block K First Floor Flat 1, William Morris Hall Ashby Road, LE11 3TQ",10013598034,23/12/2024,22/12/2029,5
Mandatory HMO licence,CBC-570780231524,"New Block K Second Floor Flat 1, William Morris Hall Ashby Road, LE11 3TQ",10013598042,23/12/2024,22/12/2029,5
Mandatory HMO licence,CBC-859021114655,"New Block M Ground Floor Flat 1, William Morris Hall Ashby Road, LE11 3TQ",10013598074,23/12/2024,22/12/2029,5
Mandatory HMO licence,CBC-971364752334,"Block B First Floor Room 1, William Morris Hall John Phillips Close, LE11 3TQ",10013597041,10/12/2024,09/12/2029,7
Mandatory HMO licence,CBC-242356523756,"Block C Second Floor Room 1, William Morris Hall John Phillips Close, LE11 3TQ",10013597069,18/12/2024,17/12/2029,7
Mandatory HMO licence,CBC-461934659624,"Room 25, Oak Lodge 188b, Ashby Road, LE11 3AG",10013597604,06/06/2024,05/06/2029,8
Mandatory HMO licence,CBC-941465231339,"Flat 4, Waterways 23, Derby Road, LE11 5AP",10070069919,20/02/2024,19/02/2029,6
Mandatory HMO licence,CBC-220614009024,"Flat 10, Waterways 27, Derby Road, LE11 5AP",10070069934,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-526127534585,"Flat 12, Waterways 27, Derby Road, LE11 5AP",10070069936,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-714922578649,"Flat 14, Waterways 27, Derby Road, LE11 5AP",10070069938,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-256745488551,"Flat 15, Waterways 27, Derby Road, LE11 5AP",10070069939,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-245639735422,"Flat 16, Waterways 27, Derby Road, LE11 5AP",10070069940,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-158169855902,"Flat 3, Waterways 29, Derby Road, LE11 5AP",10070069944,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-329400363772,"Flat 6, Waterways 29, Derby Road, LE11 5AP",10070069947,20/02/2024,19/02/2029,6
Mandatory HMO licence,CBC-829191574668,"Room 17, Chestnut Lodge 188a, Ashby Road, LE11 3AG",10013597564,06/06/2024,05/06/2029,8
Mandatory HMO licence,CBC-024092024027,"Room 9, Chestnut Lodge 188a, Ashby Road, LE11 3AG",10013597556,06/06/2024,05/06/2029,8
Mandatory HMO licence,CBC-225506067799,"Room 25, Chestnut Lodge 188a, Ashby Road, LE11 3AG",10013597572,06/06/2024,05/06/2029,8
Mandatory HMO licence,CBC-718826296687,"Room 9, Oak Lodge 188b, Ashby Road, LE11 3AG",10013597588,06/06/2024,05/06/2029,8
Mandatory HMO licence,CBC-251310513307,"H101 The Old Holt, The Holt Holt Drive, LE11 3JB",10023776647,27/11/2024,26/11/2029,5
Mandatory HMO licence,CBC-546034455918,"Flat 6 Block A, The Holt Holt Drive, LE11 3JB",10023776653,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-244856283037,"Flat 8 Block A, The Holt Holt Drive, LE11 3JB",10023776655,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-132969182791,"Flat 19 Block B, The Holt Holt Drive, LE11 3JB",10023776666,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-092541685108,"Flat 34 Block D, The Holt Holt Drive, LE11 3JB",10023776680,27/11/2024,26/11/2029,5
Mandatory HMO licence,CBC-425664694370,"Flat 2 111, Ashby Road, LE11 3AB",2.00001E+11,12/07/2024,11/07/2029,7
Mandatory HMO licence,CBC-259514999146,"Flat 4 Block A, The Holt Holt Drive, LE11 3JB",10023776651,27/11/2024,26/11/2029,5
Mandatory HMO licence,CBC-638183407308,"Flat 20 Block B, The Holt Holt Drive, LE11 3JB",10023776667,21/02/2024,20/02/2029,5
Mandatory HMO licence,CBC-526591554536,"Flat 21 Block B, The Holt Holt Drive, LE11 3JB",10023776668,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-824245857655,"Flat 28 Block C, The Holt Holt Drive, LE11 3JB",10023776675,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-302886282829,"Flat 36 Block D, The Holt Holt Drive, LE11 3JB",10023776682,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-561753268783,"Flat 44 Block E, The Holt Holt Drive, LE11 3JB",10023776690,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-574147855376,"Flat 45 Block E, The Holt Holt Drive, LE11 3JB",10023776691,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-307893155896,"Flat 7 Block A, The Holt Holt Drive, LE11 3JB",10023776654,27/11/2024,26/11/2029,5
Mandatory HMO licence,CBC-040809167237,"Flat 5 Block A, The Holt Holt Drive, LE11 3JB",10023776652,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-944954889470,"Flat 9 Block A, The Holt Holt Drive, LE11 3JB",10023776656,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-830661832961,"Flat 42 Block E, The Holt Holt Drive, LE11 3JB",10023776688,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-700154191951,"Flat 46 Block E, The Holt Holt Drive, LE11 3JB",10023776692,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-471269176931,"Room C Flat 43, Block E The Holt Holt Drive, LE11 3JB",10013597806,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-656715001714,"Flat 3 Block A, The Holt Holt Drive, LE11 3JB",10023776650,27/11/2024,26/11/2029,5
Mandatory HMO licence,CBC-273941578046,"Flat 10 Block A, The Holt Holt Drive, LE11 3JB",10023776657,28/11/2024,27/11/2029,6
Mandatory HMO licence,CBC-497275511244,"Flat 11 Block A, The Holt Holt Drive, LE11 3JB",10023776658,27/11/2024,26/11/2029,5
Mandatory HMO licence,CBC-215917696861,"Flat 12 Block A, The Holt Holt Drive, LE11 3JB",10023776659,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-044365404353,"Flat 17 Block B, The Holt Holt Drive, LE11 3JB",10023776664,21/02/2024,20/02/2029,5
Mandatory HMO licence,CBC-941485139630,"Flat 18 Block B, The Holt Holt Drive, LE11 3JB",10023776665,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-046845304864,"Flat 22 Block B, The Holt Holt Drive, LE11 3JB",10023776669,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-503096347096,"Flat 29 Block C, The Holt Holt Drive, LE11 3JB",10023776676,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-643064635323,"Flat 35 Block D, The Holt Holt Drive, LE11 3JB",10023776681,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-714494464063,"Flat 38 Block D, The Holt Holt Drive, LE11 3JB",10023776684,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-582502226844,"Flat 26 Block C, The Holt Holt Drive, LE11 3JB",10023776673,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-044722079350,"Flat 27 Block C, The Holt Holt Drive, LE11 3JB",10023776674,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-166710904903,"Flat 37 Block D, The Holt Holt Drive, LE11 3JB",10023776683,21/02/2024,20/02/2029,6
Mandatory HMO licence,CBC-518364632337,"Flat 47 Block E, The Holt Holt Drive, LE11 3JB",10023776693,27/11/2024,26/11/2029,6
Mandatory HMO licence,CBC-455846235199,"Flat 1 21, Market Place, Loughborough, LE11 3EB",10094172893,29/01/2021,29/01/2026,5
Mandatory HMO licence,CBC-182027549414,"Flat 1 37, Radmoor Road, Loughborough, LE11 3BP",10095777206,13/10/2023,12/10/2028,6
Mandatory HMO licence,CBC-956153978210,"Flat 2 37, Radmoor Road, Loughborough, LE11 3BP",10095777207,14/10/2023,13/10/2028,5
Mandatory HMO licence,CBC-627392727870,"Flat 2 62a, Ashby Road, Loughborough, LE11 3AE",10095777659,14/02/2024,13/02/2029,5
Mandatory HMO licence,CBC-347770377437,"16, Radmoor Road, Loughborough, LE11 3BS",1.0003E+11,08/11/2023,07/11/2028,7
Mandatory HMO licence,CBC-662177001860,"118, Herrick Road, Loughborough, LE11 2BU",1.0003E+11,12/10/2023,11/10/2028,7
Mandatory HMO licence,CBC-099672983371,"25, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,14/09/2023,13/09/2028,5
Mandatory HMO licence,CBC-932050631562,"59, Oxford Street, Loughborough, LE11 5DP",1.0003E+11,03/01/2024,02/01/2029,5
Mandatory HMO licence,CBC-689857968146,"7, Fearon Street, Loughborough, LE11 5DG",1.0003E+11,10/10/2023,09/10/2028,5
Mandatory HMO licence,CBC-204464696811,"41, Storer Road, Loughborough, LE11 5EH",1.0003E+11,08/10/2023,07/10/2028,5
Mandatory HMO licence,CBC-048744452695,"Flat 1 12, Packe Street, Loughborough, LE11 3EZ",10095778451,21/09/2023,20/09/2028,6
Mandatory HMO licence,CBC-448142861482,"Flat 2 12, Packe Street, Loughborough, LE11 3EZ",10095778452,25/09/2023,24/09/2028,6
Mandatory HMO licence,CBC-909882077589,"85, Storer Road, Loughborough, LE11 5EH",1.0003E+11,08/10/2023,07/10/2028,5
Mandatory HMO licence,CBC-926310804181,"26, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,10/10/2023,09/10/2028,6
Mandatory HMO licence,CBC-471768749739,"57, Frederick Street, Loughborough, LE11 3BH",1.0003E+11,10/10/2023,09/10/2028,6
Mandatory HMO licence,CBC-692795819596,"28, Radmoor Road, Loughborough, LE11 3BS",1.0003E+11,08/10/2023,07/10/2028,6
Mandatory HMO licence,CBC-842786666655,"1, Oliver Road, Loughborough, LE11 2BZ",1.0003E+11,10/10/2023,09/10/2028,7
Mandatory HMO licence,CBC-355492217286,"18, York Road, Loughborough, LE11 3DA",1.0003E+11,10/10/2023,09/10/2028,5
Mandatory HMO licence,CBC-327415419961,"133, Station Street, Loughborough, LE11 5EG",1.0003E+11,10/10/2023,09/10/2028,6
Mandatory HMO licence,CBC-810850568351,"22, Great Central Road, Loughborough, LE11 1RW",1.0003E+11,08/10/2023,07/10/2028,8
Mandatory HMO licence,CBC-554020094850,"97, Wharncliffe Road, Loughborough, LE11 1SL",1.0003E+11,04/04/2023,03/04/2028,8
Mandatory HMO licence,CBC-069884479750,"150, Leicester Road, Loughborough, LE11 2AQ",1.0003E+11,02/11/2023,01/11/2028,6
Mandatory HMO licence,CBC-589267156444,"20, Leopold Street, Loughborough, LE11 5DL",1.0003E+11,31/10/2023,30/10/2028,5
Mandatory HMO licence,CBC-746356377379,"83, Storer Road, Loughborough, LE11 5EH",1.0003E+11,02/04/2024,01/04/2029,5
Mandatory HMO licence,CBC-199903132461,"Herrick House 2, Herrick Road, Loughborough, LE11 2BT",1.0003E+11,04/01/2024,03/01/2029,14
Mandatory HMO licence,CBC-353384452261,"3, Broad Street, Loughborough, LE11 5AB",1.0003E+11,13/12/2023,24/04/2028,5
Mandatory HMO licence,CBC-463540768328,"63, Leopold Street, Loughborough, LE11 5DN",1.0003E+11,21/09/2023,18/12/2027,6
Mandatory HMO licence,CBC-602720545318,"7, Storer Road, Loughborough, LE11 5EQ",1.0003E+11,14/11/2023,13/11/2028,6
Mandatory HMO licence,CBC-216213986671,"1, Holt Drive, Loughborough, LE11 3HZ",1.0003E+11,13/12/2023,20/05/2028,5
Mandatory HMO licence,CBC-849582907047,"27, Fearon Street, Loughborough, LE11 5DG",1.0003E+11,30/11/2023,05/03/2028,6
Mandatory HMO licence,CBC-317260002153,"64, Frederick Street, Loughborough, LE11 3BJ",1.0003E+11,02/11/2023,01/11/2028,6
Mandatory HMO licence,CBC-711380927814,"8, Grange Street, Loughborough, LE11 1QG",1.0003E+11,08/11/2023,07/11/2028,6
Mandatory HMO licence,CBC-534763624090,"39, Rosebery Street, Loughborough, LE11 5DX",1.0003E+11,19/12/2023,07/03/2028,5
Mandatory HMO licence,CBC-769478136062,"18, Royland Road, Loughborough, LE11 2EH",1.0003E+11,08/11/2023,07/11/2028,6
Mandatory HMO licence,CBC-382769228377,"9, Burns Road, Loughborough, LE11 4ND",1.0003E+11,20/12/2023,11/03/2028,5
Mandatory HMO licence,CBC-395836564420,"31, Storer Road, Loughborough, LE11 5EQ",1.0003E+11,13/12/2023,25/03/2028,8
Mandatory HMO licence,CBC-719200440615,"459, New Ashby Road, Loughborough, LE11 4EU",1.0003E+11,12/04/2023,11/04/2028,5
Mandatory HMO licence,CBC-482041852529,"4, Goldfinch Close, Loughborough, LE11 3HG",10004000862,20/12/2023,19/12/2028,6
Mandatory HMO licence,CBC-877658458426,"26, Radmoor Road, Loughborough, LE11 3BS",1.0003E+11,07/09/2023,19/12/2027,5
Mandatory HMO licence,CBC-738196586331,"42, Royland Road, Loughborough, LE11 2EH",1.0003E+11,13/12/2023,25/03/2028,6
Mandatory HMO licence,CBC-344598307750,"45, William Street, Loughborough, LE11 3BX",1.0003E+11,09/05/2024,08/05/2029,5
Mandatory HMO licence,CBC-289910039830,"16, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,13/03/2024,12/03/2029,6
Mandatory HMO licence,CBC-679588164136,"26, Forest Road, Loughborough, LE11 3NP",1.0003E+11,14/12/2023,24/04/2028,5
Mandatory HMO licence,CBC-346481173013,"20, Royland Road, Loughborough, LE11 2EH",1.0003E+11,11/12/2023,25/04/2028,6
Mandatory HMO licence,CBC-075103640309,"238a, Alan Moss Road, Loughborough, LE11 4LZ",10012191560,14/12/2023,09/04/2028,6
Mandatory HMO licence,CBC-652743260898,"2, Grove Road, Loughborough, LE11 3QN",1.0003E+11,25/05/2023,18/12/2027,6
Mandatory HMO licence,CBC-040390653131,"23, Broad Street, Loughborough, LE11 5AB",1.0003E+11,11/05/2023,10/05/2028,5
Mandatory HMO licence,CBC-468698686434,"30, Royland Road, Loughborough, LE11 2EH",1.0003E+11,28/03/2024,27/03/2029,5
Mandatory HMO licence,CBC-725684280373,"7a, Park Street, Loughborough, LE11 2EG",10095778715,01/03/2024,28/02/2029,6
Mandatory HMO licence,CBC-826158027084,"62, Oxford Street, Loughborough, LE11 5DR",1.0003E+11,12/11/2023,11/11/2028,6
Mandatory HMO licence,CBC-766305174029,"12, Radmoor Road, Loughborough, LE11 3BS",1.0003E+11,08/04/2024,07/04/2029,8
Mandatory HMO licence,CBC-073378781116,"14, Radmoor Road, Loughborough, LE11 3BS",1.0003E+11,08/04/2024,07/04/2029,8
Mandatory HMO licence,CBC-057916887237,"30, Beacon Road, Loughborough, LE11 2BQ",1.0003E+11,29/06/2023,28/06/2028,6
Mandatory HMO licence,CBC-131095226579,"18, Leopold Street, Loughborough, LE11 5DL",1.0003E+11,11/01/2024,30/05/2028,6
Mandatory HMO licence,CBC-864251677438,"94, Paget Street, Loughborough, LE11 5DT",1.0003E+11,17/01/2024,30/05/2028,5
Mandatory HMO licence,CBC-675835943836,"32, Royland Road, Loughborough, LE11 2EH",1.0003E+11,18/03/2024,17/03/2029,6
Mandatory HMO licence,CBC-288056066342,"9, Burleigh Road, Loughborough, LE11 3BA",1.0003E+11,20/02/2024,19/02/2029,5
Mandatory HMO licence,CBC-631776236280,"1, Chestnut Street, Loughborough, LE11 3BE",1.0003E+11,20/03/2024,19/03/2029,6
Mandatory HMO licence,CBC-909406308823,"61, Storer Road, Loughborough, LE11 5EH",1.0003E+11,20/12/2023,08/05/2028,6
Mandatory HMO licence,CBC-702676519327,"65, Herbert Street, Loughborough, LE11 1NU",1.0003E+11,29/06/2023,28/06/2028,5
Mandatory HMO licence,CBC-789607856375,"32, Forest Road, Loughborough, LE11 3NP",1.0003E+11,20/07/2023,19/07/2028,5
Mandatory HMO licence,CBC-770921450260,"45, Storer Road, Loughborough, LE11 5EH",1.0003E+11,28/03/2024,27/03/2029,6
Mandatory HMO licence,CBC-000575708164,"101, Ashby Road, Loughborough, LE11 3AB",1.0003E+11,05/07/2023,04/07/2028,8
Mandatory HMO licence,CBC-183075714923,"14, Burleigh Road, Loughborough, LE11 3BA",1.0003E+11,06/07/2023,05/07/2028,5
Mandatory HMO licence,CBC-873265656537,"64, Kingfisher Way, Loughborough, LE11 3NF",10004000746,20/07/2023,17/12/2027,5
Mandatory HMO licence,CBC-502562833807,"5, Cumberland Road, Loughborough, LE11 5DE",1.0003E+11,20/07/2023,19/07/2028,7
Mandatory HMO licence,CBC-602361332896,"51, Oxford Street, Loughborough, LE11 5DP",1.0003E+11,05/03/2024,04/03/2029,6
Mandatory HMO licence,CBC-922685533288,"9, Caldwell Street, Loughborough, LE11 3BB",1.0003E+11,21/03/2024,20/03/2029,5
Mandatory HMO licence,CBC-595274840489,"13, Victoria Street, Loughborough, LE11 2EN",1.0003E+11,23/02/2024,22/02/2029,6
Mandatory HMO licence,CBC-294742542573,"91, Station Street, Loughborough, LE11 5EF",1.0003E+11,30/09/2023,29/09/2028,6
Mandatory HMO licence,CBC-848808809747,"4, Towles Mill Queens Road, Loughborough, LE11 1GG",10004000057,06/09/2023,05/09/2028,7
Mandatory HMO licence,CBC-991703601178,"16, Herrick Road, Loughborough, LE11 2BT",1.0003E+11,30/08/2023,30/08/2028,7
Mandatory HMO licence,CBC-230121134325,"42, Beacon Road, Loughborough, LE11 2BQ",1.0003E+11,08/04/2024,07/04/2029,5
Mandatory HMO licence,CBC-480675190199,"178, Park Road, Loughborough, LE11 2HJ",1.0003E+11,30/05/2024,29/05/2029,5
Mandatory HMO licence,CBC-473776107703,"101, Ratcliffe Road, Loughborough, LE11 1LG",1.0003E+11,16/04/2024,15/04/2029,6
Mandatory HMO licence,CBC-745393245426,"119, Leopold Street, Loughborough, LE11 5DW",1.0003E+11,04/01/2024,29/07/2028,5
Mandatory HMO licence,CBC-018071213673,"28, Frederick Street, Loughborough, LE11 3BJ",1.0003E+11,24/08/2023,23/08/2028,5
Mandatory HMO licence,CBC-007398568426,"Flat 1 31, Clarence Street, Loughborough, LE11 1DY",10012192329,26/07/2023,04/12/2027,6
Mandatory HMO licence,CBC-473903720200,"1, Burleigh Road, Loughborough, LE11 3BA",1.0003E+11,07/09/2023,26/12/2027,5
Mandatory HMO licence,CBC-100694572912,"Flat 32, High Street, LE11 2PZ",10091074946,31/08/2023,10/12/2027,7
Mandatory HMO licence,CBC-672218479929,"40, Curzon Street, Loughborough, LE11 3BQ",1.0003E+11,07/09/2023,12/12/2027,5
Mandatory HMO licence,CBC-642050289118,"24, Radmoor Road, Loughborough, LE11 3BS",1.0003E+11,07/09/2023,18/12/2027,6
Mandatory HMO licence,CBC-609546721862,"1, Goldfinch Close, Loughborough, LE11 3HG",10004000859,21/09/2023,18/12/2027,6
Mandatory HMO licence,CBC-075670865583,"7, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,09/08/2023,29/01/2028,5
Mandatory HMO licence,CBC-538970768676,"22, Beacon Road, Loughborough, LE11 2BQ",1.0003E+11,25/03/2024,24/03/2029,7
Mandatory HMO licence,CBC-833629284536,"Essex Lodge 194, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,11/01/2024,14/09/2028,15
Mandatory HMO licence,CBC-928903592697,"20, Oaklands Avenue, Loughborough, LE11 3JF",1.0003E+11,12/04/2024,11/04/2029,5
Mandatory HMO licence,CBC-592539286869,"152, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,06/06/2024,05/06/2029,6
Mandatory HMO licence,CBC-254774789978,"47, Ratcliffe Road, Loughborough, LE11 1LF",1.0003E+11,12/04/2024,11/04/2029,5
Mandatory HMO licence,CBC-094965480244,"5, Goldfinch Close, Loughborough, LE11 3HG",10004000863,03/10/2023,19/12/2027,6
Mandatory HMO licence,CBC-973456583422,"120, Herrick Road, Loughborough, LE11 2BU",1.0003E+11,16/04/2024,15/04/2029,5
Mandatory HMO licence,CBC-098095881839,"36, Royland Road, Loughborough, LE11 2EH",1.0003E+11,12/04/2024,11/04/2029,5
Mandatory HMO licence,CBC-825043506571,"38, Royland Road, Loughborough, LE11 2EH",1.0003E+11,26/04/2024,25/04/2029,5
Mandatory HMO licence,CBC-624093338682,"176, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,06/06/2024,05/06/2029,6
Mandatory HMO licence,CBC-962746650272,"178, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,26/04/2024,25/04/2029,6
Mandatory HMO licence,CBC-334396744184,"51, York Road, Loughborough, LE11 3DA",1.0003E+11,26/04/2024,25/04/2029,5
Mandatory HMO licence,CBC-589190907828,"35, Boyer Street, Loughborough, LE11 1DT",1.0003E+11,28/09/2023,23/01/2028,6
Mandatory HMO licence,CBC-122368684776,"46, Wanlip Road, Leicester, LE7 1PA",1.0003E+11,28/09/2023,21/03/2028,8
Mandatory HMO licence,CBC-900167899476,"21, Kingfisher Way, Loughborough, LE11 3NF",10004000712,13/09/2023,21/01/2028,6
Mandatory HMO licence,CBC-168932171877,"22, Leopold Street, Loughborough, LE11 5DL",1.0003E+11,27/09/2023,06/02/2028,5
Mandatory HMO licence,CBC-338092340129,"51, William Street, Loughborough, LE11 3BX",1.0003E+11,13/09/2023,22/01/2028,5
Mandatory HMO licence,CBC-613302116582,"22, Royland Road, Loughborough, LE11 2EH",1.0003E+11,12/04/2024,11/04/2029,6
Mandatory HMO licence,CBC-899855345816,"36, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,04/01/2024,30/09/2028,5
Mandatory HMO licence,CBC-514782969273,"13, Radmoor Road, Loughborough, LE11 3BP",1.0003E+11,14/03/2024,13/03/2029,6
Mandatory HMO licence,CBC-625655574368,"10, Silverton Road, Loughborough, LE11 2RJ",1.0003E+11,14/03/2024,13/03/2029,5
Mandatory HMO licence,CBC-004365007453,"21, Radmoor Road, Loughborough, LE11 3BP",1.0003E+11,14/03/2024,13/03/2029,6
Mandatory HMO licence,CBC-125727085759,"19, Curzon Street, Loughborough, LE11 3BQ",1.0003E+11,14/03/2024,13/03/2029,5
Mandatory HMO licence,CBC-191684733074,"132, Station Street, Loughborough, LE11 5EG",1.0003E+11,15/05/2024,14/05/2029,5
Mandatory HMO licence,CBC-365665377963,"181, Park Road, Loughborough, LE11 2HE",1.0003E+11,26/03/2024,25/03/2029,6
Mandatory HMO licence,CBC-583731222082,"14, Wren Close, Loughborough, LE11 3HL",10004000806,11/01/2024,10/01/2029,5
Mandatory HMO licence,CBC-981003925997,"94, Holt Drive, Loughborough, LE11 3JA",1.0003E+11,19/02/2024,18/02/2029,6
Mandatory HMO licence,CBC-992416874172,"44a, Ashleigh Drive, Loughborough, LE11 3HW",1.0003E+11,16/02/2024,15/02/2029,6
Mandatory HMO licence,CBC-722561850956,"122, Ratcliffe Road, Loughborough, LE11 1LH",1.0003E+11,11/03/2024,10/03/2029,5
Mandatory HMO licence,CBC-102680324892,"136, Forest Road, Loughborough, LE11 3NR",1.0003E+11,02/04/2024,01/04/2029,6
Mandatory HMO licence,CBC-780942337676,"41, Kirkstone Drive, Loughborough, LE11 3RN",1.0003E+11,20/03/2024,19/03/2029,6
Mandatory HMO licence,CBC-631270176775,"8, Ratcliffe Road, Loughborough, LE11 1LQ",1.0003E+11,02/04/2025,01/04/2030,6
Mandatory HMO licence,CBC-706969238715,"15, Pleasant Close, Loughborough, LE11 5BF",1.0003E+11,11/03/2024,10/03/2029,5
Mandatory HMO licence,CBC-058409714031,"56, Broad Street, Loughborough, LE11 5AB",1.0003E+11,26/03/2024,25/03/2029,6
Mandatory HMO licence,CBC-789898669159,"1a, Storer Road, Loughborough, LE11 5EQ",1.0003E+11,23/10/2023,22/10/2028,6
Mandatory HMO licence,CBC-872494380727,"70, Frederick Street, Loughborough, LE11 3BJ",1.0003E+11,23/10/2023,22/10/2028,6
Mandatory HMO licence,CBC-508382150968,"71, Holywell Drive, Loughborough, LE11 3JX",1.0003E+11,08/04/2024,07/04/2029,6
Mandatory HMO licence,CBC-415032254134,"70, Derby Road, Loughborough, LE11 5BX",1.0003E+11,07/03/2024,06/03/2029,5
Mandatory HMO licence,CBC-012899767496,"5, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,23/04/2024,22/04/2029,5
Mandatory HMO licence,CBC-832268951089,"4, Westfield Drive, Loughborough, LE11 3QL",1.0003E+11,16/04/2024,15/04/2029,6
Mandatory HMO licence,CBC-600812868984,"4, Goods Yard Close, Loughborough, LE11 5EB",10008151680,24/01/2024,15/11/2028,5
Mandatory HMO licence,CBC-983100585035,"14, Forest Road, Loughborough, LE11 3NP",10094170953,18/01/2024,15/11/2028,6
Mandatory HMO licence,CBC-167874778163,"41, Fearon Street, Loughborough, LE11 5DG",1.0003E+11,11/01/2024,29/09/2028,6
Mandatory HMO licence,CBC-823134056474,"25, Edward Street, Loughborough, LE11 1QF",1.0003E+11,07/03/2024,06/03/2029,5
Mandatory HMO licence,CBC-692166706831,"37, Cumberland Road, Loughborough, LE11 5DE",1.0003E+11,12/02/2024,11/02/2029,6
